SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1,STM_score,CDI_score,ADL_binary,PHYSICAL_HEALTH_RAW,PHYSICAL_HEALTH_IDX,PHI_INT,Log_COPC,Log_INCOMEPC,OCC_group,OCC_Agricultural,OCC_Wage,OCC_Self_employed,OCC_Salaried,OOP_STM,OOP_MB,OOP_TOTAL,OOP_SHARE,CAT_EXP,UNTREATED,DAYS_LOST,PROVIDER_PRIVATE,PROVIDER_GOVT,ACC_dist_score,ACC_gap_score,ACC_fin_score,HEALTH_ACCESS_IDX,_state,MULTIDIMENSIONAL_HEALTH_IDX
IHDS-II 2,Uttarakhand 05,5,1,20,1,1.0,50501,505010201,50501020101,6466.85824346,6467.0,5.0,Dehradun,2,1,72.0,3,11,Dead,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,3,3,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.0,1,Govt Doc/Nurse 1,District Town,,,Antibiotic 2,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,169.89999389649,169.89999389649,Standing 2,42.5,42.5,No 0,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,2.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,81428.0,40714.0,25.0,24.0,,,0.0,0.0,,84000.0,180000.0,0.0,,264000.0,132000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,264000.0,,72.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,180000.0,0.0,0.0,0,16,16.0,3.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0,0.0555555555555555,0.0611111111111111,0.5460337541783322,10.614351853901232,11.790557201568507,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Uttarakhand,0.03055555555555555
IHDS-II 2,Uttarakhand 05,5,1,70,1,2.0,50501,505010701,50501070102,6466.85824346,6467.0,5.0,Dehradun,2,2,50.0,1,11,1.0,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,8,8,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20.0,1,Govt Doc/Nurse 1,This village or Neighbourhood,Govt Doc/Nurse 1,This village or Neighbourhood,Antibiotic 2,11.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,154.0,153.0,Standing 2,66.5,66.5,Yes 1,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,3.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,86775.203125,28925.0683594,24.0,23.0,,,0.0,0.0,,128748.0,72000.0,0.0,,200748.0,66916.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,200748.0,60.0,50.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72000.0,0.0,0.0,0,12,10.0,12.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0,0.0555555555555555,0.0611111111111111,0.5460337541783322,10.27249848688194,11.111193380451173,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Uttarakhand,0.03055555555555555
IHDS-II 2,Uttarakhand 05,5,1,80,2,2.0,50501,505010802,50501080202,6466.85824346,6467.0,5.0,Dehradun,2,2,30.0,1,11,1.0,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,5,5,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1,1,1,1,0,2,1,0.0,1,1,2,,,Antibiotic 2,0.0,3.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,146.0,146.0,Standing 2,42.79999923707,42.79999923707,Yes 1,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,4.0,Yes 1,Yes 1,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,55100.0,13775.0,18.0,17.0,,,0.0,0.0,,0.0,62000.0,0.0,,62000.0,15500.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,62000.0,36.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62000.0,0.0,0.0,0.0,62000.0,0,5,0.0,5.0,,,,,,,,,No 0,,,No 0,,,0.8,0.0,0,0.4,0.36,2.477035747612217,9.530683226667511,9.64859530290734,Inactive,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0054446460980036,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Uttarakhand,0.18
IHDS-II 2,Uttarakhand 05,5,1,90,1,1.0,50501,505010901,50501090101,6466.85824346,6467.0,5.0,Dehradun,2,1,62.0,3,11,Dead,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,1,4800.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15.0,1,Pvt Doc/Nurse 3,District Town,,,Antibiotic 2,0.0,0.0,,400.0,0.0,0.0,0,0,0,0,0,0,0,1,1,4,1,,,,,,,,No 0,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,5.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,81762.0,16352.4003906,17.0,17.0,,,0.0,0.0,,0.0,72500.0,4800.0,,77300.0,15460.0,none 0,none 0,KOTHIYON ME JHARU POCHHA KA KAM KARTI HA,Maids 53,Personal services 96,150.0,6.0,5.0,750.0,Fixed 3,1500.0,1500.0,1500.0,2.0,No,No 0,No 0,0.0,0.0,0.0,Contract <1yr 3,Private firm 2,40.0,,,,none 0,,,,none 0,150.0,750.0,1500.0,parttime 3,,,,none 0,150.0,750.0,parttime 3,75800.0,,62.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,71000.0,0.0,1500.0,0.0,71000.0,0,7,5.0,7.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0,0.0555555555555555,0.0611111111111111,0.5460337541783322,9.70219112966185,9.646011322141414,Inactive,0.0,0.0,0.0,0.0,0.0,400.0,400.0,0.4892248232675326,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Uttarakhand,0.03055555555555555
IHDS-II 2,Uttarakhand 05,5,1,90,1,2.0,50501,505010901,50501090102,6466.85824346,6467.0,5.0,Dehradun,1,3,37.0,1,11,3.0,Dead,1.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,5,5,0,1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0,1,0,0,-1,-1,-1,2.0,1,4,2,,,Antibiotic 2,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,3,4,4,4,,,,,,,,No 0,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,5.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,81762.0,16352.4003906,17.0,17.0,,,0.0,0.0,,0.0,72500.0,4800.0,,77300.0,15460.0,none 0,none 0,MAJDOORI KARATE HAI MAKAN NIRMAR,Construction 95,Manf transport equip 37,200.0,8.0,8.0,1600.0,Per Day 1,250.0,50000.0,50000.0,31.25,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private firm 2,50.0,,,,none 0,200.0,1600.0,50000.0,parttime 3,,,,none 0,,,,none 0,200.0,1600.0,parttime 3,27300.0,,62.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,71000.0,0.0,1500.0,0.0,71000.0,0,7,5.0,7.0,,,,,,,,,No 0,,,No 0,,,0.24,0.0,0,0.12,0.108,0.6948018523653642,9.70219112966185,9.646011322141414,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Uttarakhand,0.054
IHDS-II 2,Uttarakhand 05,5,1,90,1,3.0,50501,505010901,50501090103,6466.85824346,6467.0,5.0,Dehradun,2,4,33.0,1,3,2.0,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,7,8,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0,1,0,0,-1,-1,-1,1.0,1,3,2,,,Antibiotic 2,0.0,0.0,0,70.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,140.19999694825,140.19999694825,Standing 2,41.5,41.5,Yes 1,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,5.0,Yes 1,Yes 1,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,81762.0,16352.4003906,17.0,17.0,,,0.0,0.0,,0.0,72500.0,4800.0,,77300.0,15460.0,none 0,none 0,KOTHIYON ME JHARU POCHHA KA KAM KARTI HA,Maids 53,Personal services 96,300.0,12.0,4.0,1200.0,Per Day 1,70.0,21000.0,21000.0,17.5,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private firm 2,30.0,,,,none 0,300.0,1200.0,21000.0,parttime 3,,,,none 0,,,,none 0,300.0,1200.0,parttime 3,56300.0,,62.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,71000.0,0.0,1500.0,0.0,71000.0,0,7,5.0,7.0,,,,,,,,,No 0,,,No 0,,,0.2333333333333333,0.0,0,0.1166666666666666,0.105,0.6758351750239548,9.70219112966185,9.646011322141414,Agricultural,1.0,0.0,0.0,0.0,70.0,0.0,70.0,0.0856143440718182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Uttarakhand,0.0525
IHDS-II 2,Uttarakhand 05,5,1,90,1,5.0,50501,505010901,50501090105,6466.85824346,6467.0,5.0,Dehradun,2,5,5.0,2,12,,2.0,3.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,1,0,none 0,1,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,1,1,Private 4,1.0,none 0,,English 11,none 0,25.0,3.0,12.0,6.0,,,,,,No 0,No 0,No 0,0.0,7200.0,3500.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,9.0,0,1,0,0,-1,-1,-1,2.0,1,3,2,,,Antibiotic 2,0.0,0.0,0,80.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,2.0,90.90000152588,90.90000152588,Standing 2,12.5,12.5,No 0,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,5.0,No 0,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,81762.0,16352.4003906,17.0,17.0,,,0.0,0.0,,0.0,72500.0,4800.0,,77300.0,15460.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,77300.0,,62.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,71000.0,0.0,1500.0,0.0,71000.0,0,7,5.0,7.0,,,,,,,,,No 0,,,No 0,,,0.3333333333333333,0.0,0,0.1666666666666666,0.15,0.8891329656800709,9.70219112966185,9.646011322141414,Inactive,0.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0978449646535065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Uttarakhand,0.075
IHDS-II 2,Uttarakhand 05,5,1,100,1,2.0,50501,505011001,50501100102,6466.85824346,6467.0,5.0,Dehradun,2,2,60.0,1,11,1.0,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,10,10,0,0,II,9,-1,-1,-1,.d,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0,0,-1,0,-1,-1,-1,0.0,1,3,3,,,Antibiotic 2,0.0,350.0,1,150.0,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,147.0,147.0,Standing 2,49.59999847413,49.59999847413,No 0,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,3.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,163040.0,54346.6679688,26.0,25.0,,,0.0,0.0,,240000.0,27000.0,0.0,15000.0,282000.0,94000.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,282000.0,65.0,60.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27000.0,0.0,0.0,1,15,10.0,15.0,,,,,,,,,No 0,,,No 0,,,0.4,0.0,0,0.2,0.18,0.9437466181454206,10.90315698397102,11.451050061252142,Inactive,0.0,0.0,0.0,0.0,700.0,0.0,700.0,0.429342492639843,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0833333333333333,Uttarakhand,0.13166666666666665
IHDS-II 2,Uttarakhand 05,5,1,110,1,2.0,50501,505011101,50501110102,6466.85824346,6467.0,5.0,Dehradun,2,2,49.0,1,11,1.0,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,11,10,0,0,II,1,1,0,-1,.d,0,-1,-1,1,1,1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Govt Doc/Nurse 1,District Town,,,Pain killer/Cough syrup 1,0.0,0.0,,6000.0,200.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,4.0,Yes 1,No 0,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,1117804.0,279451.0,23.0,22.0,,,0.0,0.0,,156000.0,192000.0,90000.0,,438000.0,109500.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,438000.0,53.0,49.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,192000.0,0.0,0.0,1,16,12.0,16.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0,0.0555555555555555,0.0611111111111111,0.5460337541783322,12.540585821587603,11.603679828238691,Inactive,0.0,0.0,0.0,0.0,0.0,6200.0,6200.0,0.5546589563107664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uttarakhand,0.03055555555555555
IHDS-II 2,Uttarakhand 05,5,1,130,1,4.0,50501,505011301,50501130104,6466.85824346,6467.0,5.0,Dehradun,2,3,38.0,4,8,50.0,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,4,3,0,1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1,1,0,-1,-1,-1,2.0,1,4,2,,,Antibiotic 2,0.0,0.0,0,10.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6.0,1,Pvt Doc/Nurse 3,District Town,,,Antibiotic 2,0.0,0.0,,5000.0,100.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Additional quest 2,,140.60000610352,140.60000610352,Standing 2,37.70000076294,37.59999847413,Yes 1,1,1,non-metro,,532.11999511719,1082.0,0.5418719053268,5.0,Yes 1,Yes 1,Hindu 1,Forward/General (except Brahmin) 2,Forward caste 2,,,,90980.0,18196.0,20.0,20.0,,,0.0,0.0,,0.0,129000.0,0.0,,129000.0,25800.0,none 0,none 0,KOTHI ME JHADU POCHHA KA KAM KARATI HAI,Maids 53,Personal services 96,200.0,8.0,4.0,800.0,Per Month 2,3000.0,24000.0,24000.0,30.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private firm 2,40.0,,,,none 0,,,,none 0,200.0,800.0,24000.0,parttime 3,,,,none 0,200.0,800.0,parttime 3,105000.0,72.0,67.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,105000.0,0.0,24000.0,0.0,105000.0,1,9,9.0,4.0,,,,,,,,,No 0,,,No 0,,,0.44,0.1111111111111111,0,0.2755555555555555,0.2591111111111112,1.7637280406336868,9.809012024313242,10.158129770909708,Salaried,0.0,0.0,0.0,1.0,10.0,5100.0,5110.0,5.616619037151023,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Uttarakhand,0.1295555555555556
